filepath,class,mean,variance
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/c0ef1466-26c8-460c-a2b8-d72c5caf0792___JR_HL 4275_flipTB.JPG,healthy,0.38641464710235596,0.049298107624053955
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/79d33f58-35b7-45fa-b078-696375860260___JR_HL 4046_180deg.JPG,healthy,0.4862942695617676,0.041697099804878235
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/d1113e15-85d4-48a1-8323-f65c688ecf8c___JR_HL 9654.JPG,healthy,0.5630297660827637,0.028515571728348732
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/27e2013d-3a3d-447c-b4c6-92ca1d3ed03d___JR_HL 9891.JPG,healthy,0.5180851221084595,0.03055250085890293
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/c30fb5bc-2fc0-42cd-a5db-5b4b774b9f7e___JR_HL 9574_180deg.JPG,healthy,0.5925044417381287,0.027900343760848045
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/bcbbda77-7534-484c-8f5f-d913a370714a___JR_HL 4302_flipTB.JPG,healthy,0.4694767892360687,0.0313400961458683
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/c3c041f1-dac2-4110-ae56-1818774b4603___JR_HL 4208.JPG,healthy,0.4823422431945801,0.0343959778547287
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/73331ba8-0579-4620-8884-5f3c64e5212a___JR_HL 4103_flipTB.JPG,healthy,0.43396615982055664,0.036330919712781906
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/2fcace57-26cb-485b-aff6-dbf4bae23ceb___JR_HL 9583.JPG,healthy,0.5810983180999756,0.02928539179265499
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/3cc559d9-c8f0-4f5f-8899-1a9ea5f01b8c___JR_HL 9483.JPG,healthy,0.5321987867355347,0.02741401642560959
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/7369138a-5f0e-42b9-a244-67bf24f416de___JR_HL 4290_flipTB.JPG,healthy,0.4529217481613159,0.03151029720902443
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/c62ca18f-b9e3-4907-881b-3e83e3428eea___JR_HL 3973_180deg.JPG,healthy,0.5127747058868408,0.03187594935297966
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/c1011062-7bbf-45b2-bca2-1de3e5c5cd9a___JR_HL 4258.JPG,healthy,0.481555700302124,0.03818048909306526
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/de0e3d2a-9be2-4f7d-98d1-9218ca397c33___JR_HL 4263_flipTB.JPG,healthy,0.4665820300579071,0.03652798756957054
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/ca1aebd1-8b31-4727-a4be-e1a8f421f1cf___JR_HL 9893 copy.JPG,healthy,0.7692235112190247,0.030701808631420135
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/68efa134-12ed-4417-add7-d1bd13f9f780___JR_HL 4137_flipTB.JPG,healthy,0.6222971081733704,0.03698660805821419
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/d488e8a6-948b-4805-9852-1a1825890e04___JR_HL 9554_flipTB.JPG,healthy,0.5695276260375977,0.03277740254998207
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/788d7aee-82f5-48ec-9d4a-3d10e730d302___JR_HL 9520_flipTB.JPG,healthy,0.582797110080719,0.030572352930903435
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/a4854d98-c643-4c4b-82b1-a9fcd3d205bd___JR_HL 9844_180deg.JPG,healthy,0.5679453015327454,0.033563170582056046
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/b7b1918d-d608-4aa0-9990-f0ff9a90b414___JR_HL 4144.JPG,healthy,0.4482158124446869,0.03926665708422661
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/46453b7e-1b79-468b-9678-e761d6967c66___JR_HL 9746_180deg.JPG,healthy,0.5731646418571472,0.031114159151911736
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/c8cbb528-e68c-4aac-89fa-3e0eee1b9f24___JR_HL 4147_180deg.JPG,healthy,0.5546929836273193,0.03257453814148903
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/68a06d43-ca39-431a-bd8b-d7b6e716d734___JR_HL 9522_180deg.JPG,healthy,0.5462217330932617,0.03098325990140438
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/cd687fc8-fab4-49c0-a751-e6d111549c78___JR_HL 4240.JPG,healthy,0.4627796709537506,0.03636773303151131
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/930752b3-ce70-40c3-8183-ed444e2cae17___JR_HL 3999.JPG,healthy,0.4850676953792572,0.02808615006506443
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/e6b262b1-e3ab-483e-93fa-6da710d6606a___JR_HL 9488_flipTB.JPG,healthy,0.601717472076416,0.024652473628520966
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/40dce93a-7697-4c0d-b37d-e3147c7ece78___JR_HL 9464.JPG,healthy,0.6416146159172058,0.027869252488017082
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/790ba57a-4f9d-461f-99ce-88019ffc60ed___JR_HL 4015_180deg.JPG,healthy,0.41413915157318115,0.03533139079809189
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/a0816ba7-dc4a-432a-85fc-79d2aa1b8f96___JR_HL 4047_180deg.JPG,healthy,0.4354846775531769,0.033973705023527145
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/a02b4505-3eca-4e10-bed7-4988f600ac27___JR_HL 9769_flipTB.JPG,healthy,0.5417757630348206,0.03644214943051338
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/e8a50fe1-fe8c-41cf-976f-6c59b6413a26___JR_HL 9553.JPG,healthy,0.5720721483230591,0.029997168108820915
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/b180133a-d29f-46a0-a1a5-a56199f62091___JR_HL 4162_180deg.JPG,healthy,0.4698997437953949,0.0318656750023365
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/02818f40-58e6-4c7d-bfbc-372d89b2045b___JR_HL 4259.JPG,healthy,0.4740583002567291,0.03339919075369835
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/76e3298c-998d-4bce-956a-f8812315e1d6___JR_HL 3979.JPG,healthy,0.5063936114311218,0.037516478449106216
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/6e146211-ac9a-4d39-bb85-1f8eb596c57d___JR_HL 4186.JPG,healthy,0.49310413002967834,0.03672600910067558
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/cc04b27c-e092-4e11-92e6-44a9589ec04e___JR_HL 4183_180deg.JPG,healthy,0.4461781084537506,0.03526550158858299
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/4606fb44-e54a-4101-80ae-2c486eda3559___JR_HL 9693_flipTB.JPG,healthy,0.5995191931724548,0.03131914138793945
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/048daa26-d38c-477a-96b8-018b3d4ba386___JR_HL 9767_flipTB.JPG,healthy,0.5650156140327454,0.029398223385214806
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/b180133a-d29f-46a0-a1a5-a56199f62091___JR_HL 4162_flipTB.JPG,healthy,0.4699000120162964,0.03186522424221039
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/a4781448-2096-4390-bf06-cf2ee074dc2b___JR_HL 4213_flipTB.JPG,healthy,0.40501701831817627,0.03059018962085247
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/97df0152-e34f-4b34-bb2e-b2d9aadb19ee___JR_HL 4209_180deg.JPG,healthy,0.46461424231529236,0.032054681330919266
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/d3dbee67-a252-467c-bb41-8df8d78ec476___JR_HL 9447_180deg.JPG,healthy,0.6771189570426941,0.04224567487835884
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/59022c11-f4f9-425c-a5c4-3b00407a4d4b___JR_HL 4304_flipTB.JPG,healthy,0.4603935182094574,0.0390402227640152
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/6bc57fec-e2b2-4996-852c-b00f40f291ef___JR_HL 9815_flipTB.JPG,healthy,0.559273898601532,0.032804667949676514
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/50e00976-7b86-4fe4-b413-dc7f6d82694f___JR_HL 3953.JPG,healthy,0.38149991631507874,0.03200993686914444
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/6e825c91-1907-4ad8-8ae4-50962f2b1b15___JR_HL 9877 copy.JPG,healthy,0.5755829215049744,0.03150667995214462
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/e8982035-5247-4ff7-838f-24a9455894af___JR_HL 4242_flipTB.JPG,healthy,0.483977347612381,0.03714138641953468
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/c652b225-86b8-4443-afee-4adff33573e1___JR_HL 9645_flipTB.JPG,healthy,0.4780160188674927,0.04163151606917381
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/9085e422-36a7-44fc-958b-5212f8a29c79___JR_HL 4173.JPG,healthy,0.4628392159938812,0.037795547395944595
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/c3101d4e-19b3-4959-92a4-b1b8c88d0bec___JR_HL 3994.JPG,healthy,0.4887754023075104,0.029411042109131813
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/ea6eb22e-337b-4f6e-b18f-6e5633e97571___JR_HL 9741.JPG,healthy,0.5451487302780151,0.027088752016425133
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/bbf73155-4f12-41a1-b087-38b078e646a1___JR_HL 9592_180deg.JPG,healthy,0.6152239441871643,0.028310289606451988
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/c30fb5bc-2fc0-42cd-a5db-5b4b774b9f7e___JR_HL 9574_flipTB.JPG,healthy,0.5925031900405884,0.027900537475943565
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/b570727c-3764-46cd-b128-d29353da1b9d___JR_HL 4024.JPG,healthy,0.4065227508544922,0.036660004407167435
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/d96c8119-e1f1-485d-a92d-6e542ec0ab7b___JR_HL 4017.JPG,healthy,0.4327811002731323,0.03405284509062767
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/c54f694a-5b56-48a4-b4c4-383b825d6893___JR_HL 9884 copy_flipTB.JPG,healthy,0.5498841404914856,0.028907984495162964
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/b3c6e32a-ccd1-4bb4-8e7d-155ab5c2c456___JR_HL 9774.JPG,healthy,0.5539256930351257,0.032342974096536636
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/9947a427-6424-4ea8-9ddd-48f9e4d9cc03___JR_HL 9546_flipTB.JPG,healthy,0.5594659447669983,0.03186939284205437
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/c9c77d66-5410-4974-be51-16a22f16a1e7___JR_HL 3995.JPG,healthy,0.491281121969223,0.0271510798484087
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/84c23631-9763-4f3e-8b3c-775ac54bd557___JR_HL 9853.JPG,healthy,0.5861867070198059,0.028706872835755348
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/b3c6e32a-ccd1-4bb4-8e7d-155ab5c2c456___JR_HL 9774_flipTB.JPG,healthy,0.5539257526397705,0.032342977821826935
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/088b245d-2b68-4d2b-b7fe-0e9fc42131d3___JR_HL 4132_flipTB.JPG,healthy,0.4900766909122467,0.05444452539086342
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/58a35a59-b63b-446e-a405-8e2e50f28b14___JR_HL 3930.JPG,healthy,0.49539801478385925,0.03062116540968418
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/ddf48541-2606-4096-96a0-75bde5f60e2e___JR_HL 9590_180deg.JPG,healthy,0.558045506477356,0.023226164281368256
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/9b15b47c-53e0-4873-b51c-d2b6e316d56c___JR_HL 4180_flipTB.JPG,healthy,0.47216928005218506,0.03486429154872894
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/41bc3cc1-3d62-4829-ae39-0cf0efb5b1dd___JR_HL 3969.JPG,healthy,0.48783400654792786,0.02979205548763275
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/8c2ca351-4aeb-4da9-9e5b-8905509cf148___JR_HL 9683_flipTB.JPG,healthy,0.5906384587287903,0.031058771535754204
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/b0290c25-c7fe-4202-a827-ae79eb4f4ef8___JR_HL 3998_180deg.JPG,healthy,0.4622246026992798,0.03222643956542015
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/634c1751-431f-48f1-8759-661841fbbd4f___JR_HL 4112_flipTB.JPG,healthy,0.4472905099391937,0.028233828023076057
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/daaf49b5-413b-4dca-ab0e-ecd772d8b909___JR_HL 9454_180deg.JPG,healthy,0.6387267112731934,0.042406950145959854
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/adea390a-76fa-447a-9cde-060abeba5ef5___JR_HL 9834_flipTB.JPG,healthy,0.5935004353523254,0.03766463324427605
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/77835532-af02-44be-aaac-fa36f9fa5d7a___JR_HL 9738_flipTB.JPG,healthy,0.5843898057937622,0.02504328452050686
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/be7f5965-36ae-4fc6-9078-2467b587dfae___JR_HL 9595_flipTB.JPG,healthy,0.5351166725158691,0.036055851727724075
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/7ad0e6bd-a9b8-475d-b2dc-d9c62a55db89___JR_HL 9728_flipTB.JPG,healthy,0.551417887210846,0.030880674719810486
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/960f86c8-9080-4342-b916-2e924e078b56___JR_HL 4033.JPG,healthy,0.5233842730522156,0.03574022278189659
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/2ad5c24e-64c7-4bef-a1af-8671aa68f963___JR_HL 9643.JPG,healthy,0.49546167254447937,0.047488704323768616
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/b101d58c-2db2-413a-b37e-cba6a8a1415a___JR_HL 4224_flipTB.JPG,healthy,0.44507506489753723,0.03239868953824043
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/c0975993-8fad-45eb-a080-77461fea87c6___JR_HL 9559_180deg.JPG,healthy,0.5390781164169312,0.032251711934804916
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/4f870c34-1889-429c-adb2-0f70faf0ca30___JR_HL 9745.JPG,healthy,0.6098985075950623,0.02593494951725006
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/e1f1a0eb-b3df-4b1a-9af6-01c2472a4d0c___JR_HL 9472.JPG,healthy,0.6776613593101501,0.033219628036022186
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/45be9375-1fe5-4a36-9e7e-9accc0f3b275___JR_HL 9473_flipTB.JPG,healthy,0.6541430354118347,0.03585056588053703
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/170d5af5-538b-4cf3-b344-de385bc254f8___JR_HL 4149_180deg.JPG,healthy,0.48868298530578613,0.04325554892420769
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/42a55bb4-52e8-442d-a2cc-60ff645d5db9___JR_HL 9708_flipTB.JPG,healthy,0.5527321100234985,0.03127533569931984
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/456af412-3d01-4046-b2a7-1283a2121d07___JR_HL 9498_180deg.JPG,healthy,0.4939485490322113,0.03371335566043854
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/6383ba62-2f58-4bf0-89f0-9a9159c25aad___JR_HL 9431.JPG,healthy,0.7773376107215881,0.03354797884821892
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/83b7e714-c245-47ae-819d-9ab8dc1b170f___JR_HL 9477.JPG,healthy,0.5768470168113708,0.025768207386136055
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/6383ba62-2f58-4bf0-89f0-9a9159c25aad___JR_HL 9431_180deg.JPG,healthy,0.7773317694664001,0.03354676067829132
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/c62ca18f-b9e3-4907-881b-3e83e3428eea___JR_HL 3973.JPG,healthy,0.5127716660499573,0.031876832246780396
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/ded8ae3a-2f72-4ee5-a7d2-c682bfd59d6b___JR_HL 9875 copy_180deg.JPG,healthy,0.5981983542442322,0.028317948803305626
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/1ad70b05-1981-44fa-8277-6ca5276ee1c2___JR_HL 3935.JPG,healthy,0.4391563832759857,0.033696066588163376
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/166c5514-2f57-49f6-be88-944016164241___JR_HL 9717.JPG,healthy,0.5329131484031677,0.027440063655376434
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/c4ef4ce3-b528-4cd8-8042-f23a980990c9___JR_HL 9668_180deg.JPG,healthy,0.553146243095398,0.03368882089853287
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/d8d56350-2b4a-49e3-9cad-0e3317777b67___JR_HL 4289_flipTB.JPG,healthy,0.4467775523662567,0.03261132538318634
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/077273c0-4325-45d9-995e-20b060eab6bf___JR_HL 9494_180deg.JPG,healthy,0.4638253450393677,0.03410082682967186
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/1c936dce-c9d4-49ce-9c06-68ab90d78730___JR_HL 4230.JPG,healthy,0.4102870225906372,0.039391398429870605
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/21910dbe-fd1f-4fd3-8925-9e006147455e___JR_HL 9739_180deg.JPG,healthy,0.5360984206199646,0.031292837113142014
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/adea390a-76fa-447a-9cde-060abeba5ef5___JR_HL 9834.JPG,healthy,0.5935004353523254,0.03766462951898575
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/8ef7ac77-0588-4028-a31f-d6a5d3cded70___JR_HL 9471_flipTB.JPG,healthy,0.6514464020729065,0.03740919008851051
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/73528ace-e81b-4d49-abea-1b9c395feba2___JR_HL 4184.JPG,healthy,0.45641598105430603,0.03991891071200371
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/319abe40-ce3e-485c-8651-6c98f5f06e69___JR_HL 4069_flipTB.JPG,healthy,0.4858360290527344,0.04092126712203026
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/84c23631-9763-4f3e-8b3c-775ac54bd557___JR_HL 9853_180deg.JPG,healthy,0.5861880779266357,0.02870730496942997
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/ecf3ae61-8dea-41ee-838d-818507405409___JR_HL 9470_flipTB.JPG,healthy,0.7435203194618225,0.03612419590353966
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/9705f45b-e0e3-4d0e-a0f0-ad1c9b3b32a0___JR_HL 4311.JPG,healthy,0.4960951507091522,0.02936287224292755
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/e4fbf393-baea-4a95-9c4f-94606bffc2f9___JR_HL 9435_180deg.JPG,healthy,0.7075890898704529,0.027818776667118073
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/92da1286-a52e-4ceb-bb92-2a6eba988a14___JR_HL 4177_flipTB.JPG,healthy,0.4014821946620941,0.03940519690513611
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/e0780f68-e0f5-47b8-9d9d-52ec42847103___JR_HL 9599.JPG,healthy,0.5607330203056335,0.031618982553482056
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/6abcc809-0fc3-4603-b403-7ec9366a37c2___JR_HL 4026.JPG,healthy,0.4540911912918091,0.03753289952874184
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/cf4b0e6e-7847-496b-ae4b-eb8466631c05___JR_HL 9624_flipTB.JPG,healthy,0.49313321709632874,0.043830182403326035
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/185054fb-77dd-4c64-8d76-d1f061da173f___JR_HL 9797_180deg.JPG,healthy,0.6006975769996643,0.03410840407013893
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/271c42ee-ce8e-4cd6-90bf-095d7dcd7b18___JR_HL 4028_180deg.JPG,healthy,0.4164750277996063,0.03137199953198433
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/9f57292a-576b-4ae8-a71a-cdaf42bcd6b7___JR_HL 9861.JPG,healthy,0.542980968952179,0.033411357551813126
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/caa120a1-7f2d-48d0-adef-fed8521179bf___JR_HL 4166_180deg.JPG,healthy,0.717278003692627,0.02958291582763195
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/334e9c97-03ce-4ad6-96dc-16c92578d63d___JR_HL 9525_180deg.JPG,healthy,0.5329714417457581,0.031610213220119476
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/c1011062-7bbf-45b2-bca2-1de3e5c5cd9a___JR_HL 4258_180deg.JPG,healthy,0.4815547466278076,0.03817969188094139
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/18854838-ea2e-4b85-8d17-ec1165f0bc36___JR_HL 3985.JPG,healthy,0.4829528033733368,0.028352783992886543
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/d25efe33-b74c-4f03-bc9d-314aab16c2ec___JR_HL 9886 copy_flipTB.JPG,healthy,0.6725309491157532,0.030281126499176025
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/49547074-60cf-4924-b6a3-4c70baf60186___JR_HL 4189_flipTB.JPG,healthy,0.48718491196632385,0.0406651496887207
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/dcd94f3c-a363-4b22-8dd8-0ae62ddc6f07___JR_HL 4192_180deg.JPG,healthy,0.45544710755348206,0.0408923476934433
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/6f7e749d-006a-47a8-94d0-66292e2279fb___JR_HL 9722.JPG,healthy,0.6377026438713074,0.027839234098792076
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/366da366-4749-4815-b834-059c52d39160___JR_HL 9883.JPG,healthy,0.7410517334938049,0.03153545409440994
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/cf4b0e6e-7847-496b-ae4b-eb8466631c05___JR_HL 9624.JPG,healthy,0.4931332767009735,0.043830182403326035
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/12dde15a-67a7-47e0-a066-6dd2353a91e8___JR_HL 4059.JPG,healthy,0.4329134225845337,0.033600058406591415
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/7f127004-56f7-4f16-a34f-9d5cbaaa9f8e___JR_HL 4041.JPG,healthy,0.4094579219818115,0.03591018542647362
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/ecbbb8dc-05c9-479d-9014-2278ad4df5fe___JR_HL 9666.JPG,healthy,0.5905442833900452,0.02194829471409321
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/ab6b65e2-f258-49cc-a0f4-7164023d43a6___JR_HL 4254.JPG,healthy,0.4179789125919342,0.03548603877425194
